realdate,sap_flow_mean,temp,rh,windspd,dw_solar,total_precip_mm
2025-09-16 23:45:00,0.026002280250000002,31.540000000000003,40.373333333333335,3.466666666666667,9.746666666666666,0.0
2025-09-17 00:00:00,0.0260628849,30.846666666666668,41.86,3.06,0.5333333333333333,0.0
2025-09-17 00:15:00,0.0261234896,30.19333333333333,43.54,3.2666666666666666,-1.6400000000000001,0.0
2025-09-17 00:30:00,0.026184094249999998,29.666666666666668,45.13333333333333,3.24,-2.2066666666666666,0.0
2025-09-17 00:45:00,0.0244962645,29.34,45.980000000000004,3.4266666666666667,-2.3066666666666666,0.0
2025-09-17 01:00:00,0.022240050999999997,29.2,46.63333333333333,2.7133333333333334,-2.3400000000000003,0.0
2025-09-17 01:15:00,0.02120897285,29.126666666666665,47.17333333333333,2.42,-2.3133333333333335,0.0
2025-09-17 01:30:00,0.021744853350000003,28.40666666666667,49.20666666666667,2.7333333333333334,-1.7933333333333332,0.0
2025-09-17 01:45:00,0.02248514535,27.986666666666668,50.46,3.0533333333333332,-2.0733333333333333,0.0
2025-09-17 02:00:00,0.0220479578,27.833333333333332,50.766666666666666,3.1333333333333333,-2.4533333333333336,0.0
2025-09-17 02:15:00,0.020425023,27.486666666666668,51.25333333333333,3.493333333333333,-2.3733333333333335,0.0
2025-09-17 02:30:00,0.01869718375,27.613333333333333,50.54,3.2,-2.6133333333333337,0.0
2025-09-17 02:45:00,0.0177016919,26.973333333333333,52.56666666666667,3.033333333333333,-1.8933333333333333,0.0
2025-09-17 03:00:00,0.0172467855,27.1,51.733333333333334,2.96,-2.1333333333333333,0.0
2025-09-17 03:15:00,0.016694933000000002,26.540000000000003,53.6,3.1333333333333333,-2.08,0.0
2025-09-17 03:30:00,0.016091103,26.113333333333333,54.92666666666666,4.046666666666666,-2.753333333333333,0.0
2025-09-17 03:45:00,0.01611707435,25.846666666666668,58.68,3.3866666666666663,-2.566666666666667,0.0
2025-09-17 04:00:00,0.0169272173,25.62,61.34666666666667,3.0933333333333333,-2.006666666666667,0.0
2025-09-17 04:15:00,0.017628794,25.366666666666667,63.76,2.7266666666666666,-1.82,0.0
2025-09-17 04:30:00,0.0178976566,24.666666666666668,66.9,2.02,-0.7466666666666666,0.0
2025-09-17 04:45:00,0.016569043749999998,24.30666666666667,68.89333333333335,2.36,-0.7133333333333333,0.0
2025-09-17 05:00:00,0.01672870125,24.060000000000002,69.98666666666666,2.1666666666666665,-1.1,0.0
2025-09-17 05:15:00,0.0158957411,23.573333333333334,71.96000000000001,2.3866666666666663,-0.6733333333333333,0.0
2025-09-17 05:30:00,0.01350593735,21.913333333333334,77.70666666666666,2.646666666666667,-0.5933333333333334,0.0
2025-09-17 05:45:00,0.01330587695,20.933333333333334,81.08666666666666,2.993333333333333,-1.0133333333333332,0.0
