time_of_day,baseline_25th_pct
00:00:00,0.08271033325
00:15:00,0.08226519755
00:30:00,0.08157246455
00:45:00,0.0806524528
01:00:00,0.0797750633
01:15:00,0.07924490165
01:30:00,0.07909819335
01:45:00,0.07902167330000001
02:00:00,0.07870285925
02:15:00,0.07817081819999999
02:30:00,0.07765697020000001
02:45:00,0.07725828330000001
03:00:00,0.07689577945
03:15:00,0.0764796637
03:30:00,0.0759683416
03:45:00,0.07538582185
04:00:00,0.074859482
04:15:00,0.07509531535
04:30:00,0.0751137871
04:45:00,0.07495543095
05:00:00,0.0752172949
05:15:00,0.0753896221
05:30:00,0.0760502776
05:45:00,0.07645633685
06:00:00,0.0772674198
06:15:00,0.0784660854
06:30:00,0.07920090015
06:45:00,0.0803594584
07:00:00,0.0817442059
07:15:00,0.084514247
07:30:00,0.08937271015
07:45:00,0.0960606665
08:00:00,0.10556234935
08:15:00,0.11436795685000001
08:30:00,0.12330143645
08:45:00,0.1325072874
09:00:00,0.142413285
09:15:00,0.15303733975
09:30:00,0.1644706145
09:45:00,0.17638573159999998
10:00:00,0.18771062295
10:15:00,0.19771683245
10:30:00,0.2058029004
10:45:00,0.21213440155000002
11:00:00,0.21809649180000001
11:15:00,0.2239127773
11:30:00,0.2295108715
11:45:00,0.23521992614999998
12:00:00,0.2413691017
12:15:00,0.24765771514999999
12:30:00,0.2533301067
12:45:00,0.25785075845
13:00:00,0.26155237389999997
13:15:00,0.2637649019
13:30:00,0.26418947945
13:45:00,0.26315370545
14:00:00,0.2612888526
14:15:00,0.25696034925
14:30:00,0.25865378445
14:45:00,0.25854029125
15:00:00,0.2581377183
15:15:00,0.25636365805
15:30:00,0.25157471845
15:45:00,0.2434568406
16:00:00,0.2338756965
16:15:00,0.2252251126
16:30:00,0.21790703595
16:45:00,0.21185610445
17:00:00,0.20619522210000002
17:15:00,0.2003211662
17:30:00,0.19415768290000002
17:45:00,0.18794483685000002
18:00:00,0.1820036537
18:15:00,0.1762637723
18:30:00,0.17002111915
18:45:00,0.16254865245
19:00:00,0.1539650563
19:15:00,0.1451918771
19:30:00,0.1367379371
19:45:00,0.12928967930000002
20:00:00,0.12291344695
20:15:00,0.1174878869
20:30:00,0.11258397084999999
20:45:00,0.10798535209999999
21:00:00,0.10372957425000001
21:15:00,0.09997275105
21:30:00,0.09680568365
21:45:00,0.09427395905
22:00:00,0.09233355225
22:15:00,0.09075929760000001
22:30:00,0.0892317648
22:45:00,0.0875640492
23:00:00,0.08584440460000001
23:15:00,0.0843487507
23:30:00,0.08331530125
23:45:00,0.08424902445
