realdate,sap_flow_mean,4hr_trailing_avg,baseline_25th_pct,is_stressed
2025-07-01 00:00:00,0.056246468,0.056246468,0.056246468,False
2025-07-01 00:15:00,0.0556526581,0.055949563,0.0556526581,False
2025-07-01 00:30:00,0.0551381342,0.0556790868,0.0551381342,False
2025-07-01 00:45:00,0.0544145754,0.0553629589,0.0544145754,False
2025-07-01 01:00:00,0.0535494219,0.0550002515,0.0535494219,False
2025-07-01 01:15:00,0.0528789204,0.0546466963,0.0528789204,False
2025-07-01 01:30:00,0.052599808,0.0543542837,0.052599808,False
2025-07-01 01:45:00,0.0525574503,0.0541296795,0.0525574503,False
2025-07-01 02:00:00,0.052420945,0.0539398201,0.052420945,False
2025-07-01 02:15:00,0.0519996749,0.0537458056,0.0519996749,False
2025-07-01 02:30:00,0.0513353478,0.0535266731,0.0513353478,False
2025-07-01 02:45:00,0.0505763283,0.053280811,0.0505763283,False
2025-07-01 03:00:00,0.0498966896,0.053020494,0.0498966896,False
2025-07-01 03:15:00,0.0494201735,0.0527633282,0.0494201735,False
2025-07-01 03:30:00,0.0490552297,0.0525161217,0.0490552297,False
2025-07-01 03:45:00,0.0485553921,0.0522685761,0.0485553921,False
2025-07-01 04:00:00,0.0478493306,0.051743755,0.0478493306,False
2025-07-01 04:15:00,0.0471364828,0.051211494,0.0471364828,False
2025-07-01 04:30:00,0.0465074798,0.0506720781,0.0465074798,False
2025-07-01 04:45:00,0.0461089547,0.0501529768,0.0461089547,False
2025-07-01 05:00:00,0.046038696,0.0496835565,0.046038696,False
2025-07-01 05:15:00,0.0462721282,0.049270632,0.0462721282,False
2025-07-01 05:30:00,0.0466841389,0.0489009026,0.0466841389,False
2025-07-01 05:45:00,0.047082501,0.0485587183,0.047082501,False
2025-07-01 06:00:00,0.0478333044,0.0482719908,0.0478333044,False
2025-07-01 06:15:00,0.0484203789,0.0480482848,0.0484203789,True
2025-07-01 06:30:00,0.0489639903,0.0479000749,0.0489639903,True
2025-07-01 06:45:00,0.0496979726,0.0478451777,0.0496979726,True
2025-07-01 07:00:00,0.0501833085,0.0478630914,0.0501833085,True
2025-07-01 07:15:00,0.0520046943,0.0480246239,0.0520046943,True
2025-07-01 07:30:00,0.0557226575,0.0484413382,0.0557226575,True
2025-07-01 07:45:00,0.0614871318,0.0492495719,0.0614871318,True
2025-07-01 08:00:00,0.0710146504,0.0506974044,0.0710146504,True
2025-07-01 08:15:00,0.080514813,0.05278355,0.080514813,True
2025-07-01 08:30:00,0.0909292336,0.0555599096,0.0909292336,True
2025-07-01 08:45:00,0.1019182208,0.0590479888,0.1019182208,True
2025-07-01 09:00:00,0.1133584062,0.0632554707,0.1133584062,True
2025-07-01 09:15:00,0.1251194914,0.0681834309,0.1251194914,True
2025-07-01 09:30:00,0.1373333144,0.0738490043,0.1373333144,True
